endTime,artistName,trackName,Day of the Week,Genres,msPlayed
2020-03-31 23:26,Maroon 5,Lucky Strike,Tuesday,"['pop', 'pop rock']",185280
2020-03-31 23:39,Stellar Kart,Kiss the Girl,Tuesday,"['ccm', 'christian alternative rock', 'christian music', 'christian punk', 'christian rock', 'worship']",201626
2020-03-31 23:43,Passion,"Lord, I Need You - Live",Tuesday,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']",274814
2020-03-31 23:46,Dan + Shay,Alone Together,Tuesday,"['contemporary country', 'pop']",171440
2020-03-31 23:49,Anthem Lights,Nothing Like Christmas,Tuesday,"['ccm', 'christian alternative rock', 'christian music', 'viral pop']",183287
2020-03-31 23:55,Brad Paisley,Southern Comfort Zone,Tuesday,"['contemporary country', 'country', 'country road']",316986
2020-03-31 23:59,MercyMe,Greater,Tuesday,"['anthem worship', 'ccm', 'christian alternative rock', 'christian indie', 'christian music', 'worship']",247040
2020-04-01 00:01,Haley & Michaels,Giving It All (To You),Wednesday,"['contemporary country', 'country pop']",85079
2020-04-01 00:03,Haley & Michaels,Giving It All (To You),Wednesday,"['contemporary country', 'country pop']",139523
2020-04-01 00:06,Selena,Bidi Bidi Bom Bom,Wednesday,"['dance pop', 'pop', 'pop dance', 'post-teen pop']",138663
2020-04-01 00:10,Rascal Flatts,I Won't Let Go,Wednesday,"['contemporary country', 'country', 'country road', 'pop rock']",55841
2020-04-01 19:36,Thomas Rhett,Be A Light,Wednesday,"['contemporary country', 'country', 'country road', 'modern country rock']",168320
2020-04-01 19:39,Emotional Oranges,Sundays,Wednesday,['alternative r&b'],185170
2020-04-01 19:43,KANA-BOON,Silhouette,Wednesday,"['anime', 'j-pop', 'j-poprock', 'j-rock']",240133
2020-04-01 19:47,Chris Young,Town Ain't Big Enough,Wednesday,"['contemporary country', 'country', 'country road', 'modern country rock']",167400
2020-04-01 19:53,Selena,Bidi Bidi Bom Bom,Wednesday,"['dance pop', 'pop', 'pop dance', 'post-teen pop']",182530
2020-04-01 19:57,Luke Bryan,One Margarita,Wednesday,"['contemporary country', 'country', 'country road']",192030
2020-04-01 20:04,The Weeknd,Blinding Lights,Wednesday,"['canadian contemporary r&b', 'canadian pop', 'pop']",197440
2020-04-01 21:08,MAN WITH A MISSION,Seven Deadly Sins,Wednesday,"['anime', 'anime rock', 'j-pop', 'j-poprock', 'j-rock', 'otacore']",216190
2020-04-01 21:41,Dean Brody,It's Friday,Wednesday,"['canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country road', 'modern country rock']",183230
2020-04-01 21:47,Vertical Worship,This We Know - Live,Wednesday,"['anthem worship', 'ccm', 'christian music', 'world worship', 'worship']",41352
2020-04-01 21:47,Hot Country Knights,Pick Her Up - Radio Edit,Wednesday,[],168477
2020-04-01 22:53,Emotional Oranges,West Coast Love,Wednesday,['alternative r&b'],125200
2020-04-01 23:08,Rascal Flatts,Fast Cars And Freedom,Wednesday,"['contemporary country', 'country', 'country road', 'pop rock']",251528
2020-04-01 23:16,Rascal Flatts,I Won't Let Go,Wednesday,"['contemporary country', 'country', 'country road', 'pop rock']",215775
2020-04-01 23:25,Lady A,What I’m Leaving For,Wednesday,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow', 'pop rock']",203601
2020-04-01 23:28,Keith Urban,You'll Think Of Me - Single Version,Wednesday,"['australian country', 'australian pop', 'contemporary country', 'country', 'country road']",158230
2020-04-01 23:31,Dean Brody,It's Friday,Wednesday,"['canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country road', 'modern country rock']",187834
2020-04-01 23:35,Ed Sheeran,Nancy Mulligan,Wednesday,"['pop', 'uk pop']",177101
2020-04-01 23:38,Neil Diamond,Cracklin' Rosie,Wednesday,"['adult standards', 'brill building pop', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'yacht rock']",175902
2020-04-01 23:42,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",Wednesday,"['dance pop', 'hollywood', 'movie tunes', 'post-teen pop', 'show tunes']",241903
2020-04-01 23:50,Luke Combs,Beautiful Crazy,Wednesday,['contemporary country'],67681
2020-04-02 03:00,Emotional Oranges,Sundays,Thursday,['alternative r&b'],189093
2020-04-02 03:03,Emotional Oranges,Motion,Thursday,['alternative r&b'],68660
2020-04-02 03:04,Emotional Oranges,Personal,Thursday,['alternative r&b'],71980
2020-04-02 03:07,Emotional Oranges,Corners Of My Mind,Thursday,['alternative r&b'],204500
2020-04-02 03:08,Emotional Oranges,Built That Way,Thursday,['alternative r&b'],31540
2020-04-02 03:10,Emotional Oranges,Hold You Back,Thursday,['alternative r&b'],134990
2020-04-02 03:11,Emotional Oranges,Don't Be Lazy,Thursday,['alternative r&b'],62710
2020-04-02 03:17,Blake Shelton,Nobody But You (Duet with Gwen Stefani) - Acoustic,Thursday,"['contemporary country', 'country', 'country road', 'oklahoma country']",198413
2020-04-02 03:25,Lady A,What I’m Leaving For,Thursday,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow', 'pop rock']",203601
2020-04-02 03:31,Luke Combs,Beautiful Crazy,Thursday,['contemporary country'],125730
2020-04-03 02:14,Chris Young,Drowning - Piano Version,Friday,"['contemporary country', 'country', 'country road', 'modern country rock']",182357
2020-04-03 02:21,Chris Young,Town Ain't Big Enough,Friday,"['contemporary country', 'country', 'country road', 'modern country rock']",171800
2020-04-03 02:31,Lady A,What I’m Leaving For,Friday,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow', 'pop rock']",203601
2020-04-03 02:38,Dan + Shay,My Side of the Fence,Friday,"['contemporary country', 'pop']",219826
2020-04-03 02:45,Arctic Monkeys,Fluorescent Adolescent,Friday,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",173493
2020-04-03 02:48,Sister Hazel,All For You,Friday,"['acoustic pop', 'neo mellow', 'pop rock']",218706
2020-04-03 02:52,The Vamps,Somebody To You,Friday,"['boy band', 'dance pop', 'pop', 'post-teen pop']",182826
2020-04-03 02:58,Taylor Swift,Holy Ground,Friday,"['dance pop', 'pop']",201853
2020-04-03 15:57,Emotional Oranges,Sundays,Friday,['alternative r&b'],189093
2020-04-03 16:00,Carly Pearce,I Hope You’re Happy Now,Friday,"['contemporary country', 'country pop']",198688
2020-04-03 16:04,Emotional Oranges,West Coast Love,Friday,['alternative r&b'],215386
2020-04-03 17:05,Chris Young,Town Ain't Big Enough,Friday,"['contemporary country', 'country', 'country road', 'modern country rock']",171800
2020-04-03 17:06,Becky G,Shower,Friday,"['dance pop', 'latin', 'latin pop', 'latin viral pop', 'pop', 'post-teen pop', 'rap latina', 'reggaeton', 'trap latino']",49870
2020-04-03 17:14,Riley Green,I Wish Grandpas Never Died,Friday,"['contemporary country', 'country road']",250413
2020-04-03 17:22,Brett Young,In Case You Didn't Know,Friday,['contemporary country'],192516
2020-04-03 20:07,MAN WITH A MISSION,Seven Deadly Sins,Friday,"['anime', 'anime rock', 'j-pop', 'j-poprock', 'j-rock', 'otacore']",195590
2020-04-03 21:03,KANA-BOON,Silhouette,Friday,"['anime', 'j-pop', 'j-poprock', 'j-rock']",207300
2020-04-03 21:06,Chris Young,Drowning - Piano Version,Friday,"['contemporary country', 'country', 'country road', 'modern country rock']",126130
2020-04-03 21:10,Carly Pearce,I Hope You’re Happy Now,Friday,"['contemporary country', 'country pop']",198688
2020-04-03 21:21,Blake Shelton,Nobody But You (Duet with Gwen Stefani) - Acoustic,Friday,"['contemporary country', 'country', 'country road', 'oklahoma country']",198413
2020-04-03 21:32,Cash Cash,I Found You,Friday,"['big room', 'dance pop', 'edm', 'electro house', 'electropop', 'electropowerpop', 'indie poptimism', 'pop', 'pop dance', 'pop edm', 'tropical house']",167307
2020-04-03 21:47,Luke Combs,Beautiful Crazy,Friday,['contemporary country'],190690
2020-04-03 22:11,Jonas Brothers,Like It's Christmas,Friday,"['boy band', 'dance pop', 'pop', 'pop dance', 'pop rock', 'post-teen pop']",154550
2020-04-03 22:17,Thomas Rhett,Be A Light,Friday,"['contemporary country', 'country', 'country road', 'modern country rock']",173960
2020-04-03 22:20,Mitchel Musso,Hey,Friday,['post-teen pop'],181226
2020-04-04 18:36,Emotional Oranges,Sundays,Saturday,['alternative r&b'],187050
2020-04-04 18:46,Mark Keali'i Ho'omalu,"He Mele No Lilo - From ""Lilo & Stitch""/Soundtrack Version",Saturday,['movie tunes'],146730
2020-04-04 18:52,Emotional Oranges,Sundays,Saturday,['alternative r&b'],189093
2020-04-04 19:55,KANA-BOON,Silhouette,Saturday,"['anime', 'j-pop', 'j-poprock', 'j-rock']",235840
2020-04-04 20:02,Rascal Flatts,I Won't Let Go,Saturday,"['contemporary country', 'country', 'country road', 'pop rock']",225310
2020-04-04 20:04,Chris Young,Town Ain't Big Enough,Saturday,"['contemporary country', 'country', 'country road', 'modern country rock']",171800
2020-04-04 20:11,Lady A,What I’m Leaving For,Saturday,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow', 'pop rock']",203601
2020-04-04 20:15,Dean Brody,It's Friday,Saturday,"['canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country road', 'modern country rock']",185260
2020-04-04 20:22,Luke Combs,Even Though I'm Leaving,Saturday,['contemporary country'],212010
2020-04-04 20:28,Sam Hunt,Hard To Forget,Saturday,"['contemporary country', 'country pop']",204760
2020-04-04 20:32,Bon Jovi,Who Says You Can't Go Home,Saturday,"['glam metal', 'rock']",223980
2020-04-04 21:54,Flame,Start Over (feat. NF),Saturday,"['christian hip hop', 'christian trap']",37182
2020-04-04 21:57,Luke Combs,Even Though I'm Leaving,Saturday,['contemporary country'],218123
2020-04-04 22:08,Guy Sebastian,Like It Like That,Saturday,"['australian pop', 'australian talent show']",241973
2020-04-04 22:15,Ed Sheeran,Barcelona,Saturday,"['pop', 'uk pop']",191146
2020-04-04 22:37,Zac Brown Band,As She's Walking Away (feat. Alan Jackson),Saturday,"['contemporary country', 'country', 'country road', 'modern country rock']",223826
2020-04-04 22:46,Taylor Swift,You Belong With Me,Saturday,"['dance pop', 'pop']",232120
2020-04-04 23:03,Lorrie Morgan,He Drinks Tequila,Saturday,"['country', 'country dawn', 'country rock']",189040
2020-04-04 23:09,Rex Orange County,Loving Is Easy,Saturday,"['bedroom pop', 'pop']",155720
2020-04-04 23:13,AKMU,MY DARLING,Saturday,"['k-pop', 'korean pop']",225282
2020-04-04 23:17,Old Dominion,Nowhere Fast,Saturday,"['contemporary country', 'country road']",188960
2020-04-04 23:26,Dean Brody,It's Friday,Saturday,"['canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country road', 'modern country rock']",81229
2020-04-04 23:29,Rascal Flatts,I Won't Let Go,Saturday,"['contemporary country', 'country', 'country road', 'pop rock']",227760
2020-04-05 01:50,Taylor Swift,Paper Rings,Sunday,"['dance pop', 'pop']",82881
2020-04-05 01:54,Old Dominion,My Heart Is a Bar,Sunday,"['contemporary country', 'country road']",236287
