,endTime,artistName,trackName,Genre,Day of the Week,Genres,msPlayed
517,4/25/2020 20:15,Emotional Oranges,Sundays,alternative r&b,Saturday,['alternative r&b'],189093
518,4/25/2020 20:32,Zac Brown Band,2 Places at 1 Time,contemporary country,Saturday,"['contemporary country', 'country', 'country road', 'modern country rock']",92160
519,4/25/2020 21:32,Dean Brody,It's Friday,canadian contemporary country,Saturday,"['canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country road', 'modern country rock']",190960
520,4/25/2020 21:36,Thomas Rhett,Die A Happy Man,contemporary country,Saturday,"['contemporary country', 'country', 'country road', 'modern country rock']",227426
521,4/25/2020 21:40,Bowling For Soup,Girl All the Bad Guys Want,comic,Saturday,"['comic', 'pop punk', 'texas pop punk']",197800
522,4/25/2020 22:01,Zac Brown Band,Whatever It Is,contemporary country,Saturday,"['contemporary country', 'country', 'country road', 'modern country rock']",208213
523,4/25/2020 22:09,Thomas Rhett,Remember You Young,contemporary country,Saturday,"['contemporary country', 'country', 'country road', 'modern country rock']",180466
524,4/25/2020 22:12,Keith Urban,Raise 'Em Up,australian country,Saturday,"['australian country', 'australian pop', 'contemporary country', 'country', 'country road']",184946
525,4/25/2020 22:30,Alan Jackson,Remember When,contemporary country,Saturday,"['contemporary country', 'country', 'country road', 'country rock']",271280
526,4/25/2020 22:34,Sam Hunt,Make You Miss Me,contemporary country,Saturday,"['contemporary country', 'country pop']",225693
527,4/25/2020 22:40,Bowling For Soup,Almost,comic,Saturday,"['comic', 'pop punk', 'texas pop punk']",103380
528,4/25/2020 22:41,Bowling For Soup,Almost,comic,Saturday,"['comic', 'pop punk', 'texas pop punk']",82843
529,4/25/2020 22:45,Sam Hunt,Hard To Forget,contemporary country,Saturday,"['contemporary country', 'country pop']",204760
530,4/25/2020 22:50,Luke Bryan,Rain Is A Good Thing,contemporary country,Saturday,"['contemporary country', 'country', 'country road']",130520
531,4/25/2020 23:11,Emotional Oranges,West Coast Love,alternative r&b,Saturday,['alternative r&b'],191780
532,4/26/2020 22:21,Billy Joel,The Longest Time,album rock,Sunday,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",205859
533,4/26/2020 22:36,The Tech Thieves,Fake,bass trap,Sunday,"['bass trap', 'modern alternative rock', 'traprun']",141176
534,4/26/2020 22:39,Journey,Separate Ways (Worlds Apart),album rock,Sunday,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",214856
535,4/27/2020 20:14,Jelani Aryeh,Stella Brown,alternative r&b,Monday,"['alternative r&b', 'bedroom soul']",187415
536,4/27/2020 20:18,Billy Joel,The Longest Time,album rock,Monday,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",216230
537,4/27/2020 20:26,Buddy Jewell,Sweet Southern Comfort,country,Monday,"['country', 'country road']",212906
538,4/27/2020 20:40,Luke Combs,Even Though I'm Leaving,contemporary country,Monday,['contemporary country'],225253
539,4/27/2020 20:44,The Goo Goo Dolls,Come to Me,alternative rock,Monday,"['alternative rock', 'neo mellow', 'permanent wave', 'pop rock', 'post-grunge']",225333
540,4/27/2020 20:47,Chase Rice,Eyes On You,contemporary country,Monday,"['contemporary country', 'country', 'country road', 'modern country rock']",182493
541,4/27/2020 20:50,Jonas Brothers,Sucker,boy band,Monday,"['boy band', 'dance pop', 'pop', 'pop dance', 'pop rock', 'post-teen pop']",181026
542,4/27/2020 20:54,The Worship Initiative,Chain Breaker,anthem worship,Monday,"['anthem worship', 'ccm', 'indiecoustica', 'roots worship', 'world worship']",192080
543,4/27/2020 21:36,Gorillaz,Clint Eastwood,alternative hip hop,Monday,['alternative hip hop'],300910
544,4/27/2020 21:47,Christina Perri,A Thousand Years,dance pop,Monday,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",285120
