endTime,artistName,trackName,Day of the Week,Genres,msPlayed
4/8/2020 3:41,Kacey Musgraves,Follow Your Arrow,Wednesday,"['contemporary country', 'country dawn', 'pop', 'texas country']",199640
4/8/2020 3:48,ABBA,Waterloo,Wednesday,"['europop', 'swedish pop']",168826
4/8/2020 6:21,Sam Hunt,Leave The Night On,Wednesday,"['contemporary country', 'country pop']",65300
4/8/2020 18:04,We The Kings,Kids In The Moonlight,Wednesday,"['neon pop punk', 'piano rock', 'pop punk', 'pop rock', 'post-teen pop']",201813
4/8/2020 18:47,Chris Tomlin,Whom Shall I Fear (God Of Angel Armies),Wednesday,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']",267906
4/8/2020 20:28,KANA-BOON,Silhouette,Wednesday,"['anime', 'j-pop', 'j-poprock', 'j-rock']",240133
4/8/2020 20:37,John Denver,"Leaving, On a Jet Plane - ""Greatest Hits"" Version",Wednesday,"['adult standards', 'classic country pop', 'folk', 'folk rock', 'mellow gold', 'soft rock']",245533
4/8/2020 20:42,Three Dog Night,Joy To The World,Wednesday,"['album rock', 'art rock', 'blues rock', 'brill building pop', 'bubblegum pop', 'classic rock', 'country rock', 'folk', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'roots rock', 'soft rock']",161410
4/8/2020 21:21,Counting Crows,Big Yellow Taxi,Wednesday,"['alternative rock', 'mellow gold', 'neo mellow', 'pop rock', 'rock']",225573
4/8/2020 21:38,Tim McGraw,Thought About You,Wednesday,"['contemporary country', 'country', 'country road']",225694
4/8/2020 21:56,Zac Brown Band,Lance's Song,Wednesday,"['contemporary country', 'country', 'country road', 'modern country rock']",274613
4/8/2020 22:15,Zac Brown Band,My Old Man,Wednesday,"['contemporary country', 'country', 'country road', 'modern country rock']",227222
4/8/2020 22:29,Blake Shelton,Nobody But You (Duet with Gwen Stefani) - Acoustic,Wednesday,"['contemporary country', 'country', 'country road', 'oklahoma country']",198413
4/9/2020 2:15,Cher,Super Trouper,Thursday,"['dance pop', 'hollywood', 'new wave pop', 'pop']",231480
4/9/2020 3:19,Tame Impala,The Less I Know The Better,Thursday,"['australian psych', 'neo-psychedelic']",216320
4/9/2020 3:31,Zac Brown Band,Goodbye in Her Eyes,Thursday,"['contemporary country', 'country', 'country road', 'modern country rock']",324266
